"CSV_File","Optimal_Gain"
"Te_3654_36.csv",2589
"Te_3660_36.csv",2554
"Te_3666_36.csv",2571
"Te_3672_36.csv",2540
"Te_3678_36.csv",2807
"Te_3684_36.csv",2793
"Te_3690_36.csv",2892
"Te_3648_37.csv",2475
"Te_3654_37.csv",2486
"Te_3660_37.csv",2658
"Te_3666_37.csv",2576
"Te_3672_37.csv",2579
"Te_3678_37.csv",2699
"Te_3684_37.csv",2723
"Te_3690_37.csv",2808
"Te_3648_38.csv",2591
"Te_3654_38.csv",2604
"Te_3660_38.csv",2664
"Te_3666_38.csv",2520
"Te_3672_38.csv",2535
"Te_3678_38.csv",2723
"Te_3684_38.csv",2614
"Te_3690_38.csv",2774
"Te_3648_39.csv",2368
"Te_3654_39.csv",2568
"Te_3660_39.csv",2495
"Te_3666_39.csv",2573
"Te_3672_39.csv",2717
"Te_3678_39.csv",2715
"Te_3684_39.csv",2858
"Te_3690_39.csv",2759
"Te_3648_40.csv",2608
"Te_3654_40.csv",2649
"Te_3660_40.csv",2642
"Te_3666_40.csv",2691
"Te_3672_40.csv",2587
"Te_3678_40.csv",2690
"Te_3684_40.csv",2743
"Te_3690_40.csv",2802
"Te_3648_41.csv",2445
"Te_3654_41.csv",2553
"Te_3660_41.csv",2431
"Te_3666_41.csv",2607
"Te_3672_41.csv",2698
"Te_3678_41.csv",2730
"Te_3684_41.csv",2677
"Te_3690_41.csv",2638
"Te_3648_42.csv",2563
"Te_3654_42.csv",2473
"Te_3660_42.csv",2508
"Te_3666_42.csv",2691
"Te_3672_42.csv",2768
"Te_3678_42.csv",2707
"Te_3684_42.csv",2696
"Te_3690_42.csv",2591
"Te_3648_43.csv",2489
"Te_3654_43.csv",2430
"Te_3660_43.csv",2454
"Te_3666_43.csv",2562
"Te_3672_43.csv",2604
"Te_3678_43.csv",2780
"Te_3684_43.csv",2818
"Te_3690_43.csv",2875
"Te_3648_44.csv",2369
"Te_3654_44.csv",2441
"Te_3660_44.csv",2615
"Te_3666_44.csv",2560
"Te_3672_44.csv",2692
"Te_3678_44.csv",2693
"Te_3684_44.csv",2845
"Te_3690_44.csv",2833
"Te_3648_45.csv",2343
"Te_3654_45.csv",2471
"Te_3660_45.csv",2441
"Te_3666_45.csv",2538
"Te_3672_45.csv",2660
"Te_3678_45.csv",2917
"Te_3684_45.csv",2632
"Te_3690_45.csv",2678
"Te_3648_46.csv",2489
"Te_3654_46.csv",2580
"Te_3660_46.csv",2643
"Te_3666_46.csv",2527
"Te_3672_46.csv",2572
"Te_3678_46.csv",2605
"Te_3684_46.csv",2758
"Te_3690_46.csv",2914
"Te_3648_47.csv",2621
"Te_3654_47.csv",2583
"Te_3660_47.csv",2550
"Te_3666_47.csv",2462
"Te_3672_47.csv",2863
"Te_3678_47.csv",2993
"Te_3684_47.csv",2803
"Te_3690_47.csv",2670
"Te_3648_48.csv",2558
"Te_3654_48.csv",2577
"Te_3660_48.csv",2555
"Te_3666_48.csv",2803
"Te_3672_48.csv",2679
"Te_3678_48.csv",2663
"Te_3684_48.csv",2725
"Te_3690_48.csv",2731
"Te_3648_49.csv",2481
"Te_3654_49.csv",2612
"Te_3660_49.csv",2434
"Te_3666_49.csv",2551
"Te_3672_49.csv",2644
"Te_3678_49.csv",2703
"Te_3684_49.csv",2796
"Te_3690_49.csv",2853
"Te_3648_50.csv",2509
"Te_3654_50.csv",2626
"Te_3660_50.csv",2636
"Te_3666_50.csv",2663
"Te_3672_50.csv",2596
"Te_3678_50.csv",2500
"Te_3684_50.csv",2814
"Te_3690_50.csv",2734
"Te_3648_51.csv",2544
"Te_3654_51.csv",2568
"Te_3660_51.csv",2577
"Te_3666_51.csv",2518
"Te_3672_51.csv",2855
"Te_3678_51.csv",2638
"Te_3684_51.csv",2746
"Te_3690_51.csv",2646
"Te_3648_52.csv",2305
"Te_3654_52.csv",2437
"Te_3660_52.csv",2618
"Te_3666_52.csv",2615
"Te_3672_52.csv",2694
"Te_3678_52.csv",2591
"Te_3684_52.csv",2806
"Te_3690_52.csv",2888
"Te_3648_53.csv",2524
"Te_3654_53.csv",2477
"Te_3660_53.csv",2523
"Te_3666_53.csv",2459
"Te_3672_53.csv",2682
"Te_3678_53.csv",2719
"Te_3684_53.csv",2766
"Te_3690_53.csv",2746
"Te_3648_54.csv",2687
"Te_3654_54.csv",2461
"Te_3660_54.csv",2642
"Te_3666_54.csv",2554
"Te_3672_54.csv",2541
"Te_3678_54.csv",2760
"Te_3684_54.csv",2652
"Te_3690_54.csv",2733
"Te_3648_55.csv",2429
"Te_3654_55.csv",2506
"Te_3660_55.csv",2747
"Te_3666_55.csv",2646
"Te_3672_55.csv",2703
"Te_3678_55.csv",2733
"Te_3684_55.csv",2596
