,MUE_1,MUE_2,MUE_3,MUE_4,MUE_5,MUE_6,MUE_7,MUE_8,MUE_9,MUE_10,MUE_11,MUE_12,MUE_13,MUE_14,MUE_15,MUE_16,MUE_17,MUE_18,MUE_19,MUE_20,MUE_21,MUE_22,MUE_23,MUE_24,MUE_25,MUE_26,MUE_27,MUE_28,MUE_29,MUE_30,MUE_31,MUE_32,MUE_33,MUE_34,MUE_35,MUE_36
FUE_11,0.616821794399231,0.4306183333182014,0.533994141852954,0.6085441094024315,0.5116180386067778,0.5357803924993905,0.6630411755508776,0.603471773690568,0.3857442546780962,0.5304931661909603,0.30529072114858813,0.34745653151619,0.5011956718622316,0.5359943570152719,0.5630142459007254,0.5479106063146802,0.2966286536910237,0.17239091442217833,0.48005258837546577,0.47457254320603587,0.5229654836106196,0.5299072939868764,0.4965413087885396,0.5175403645072413,0.5369853112144033,0.4077555877993986,0.5644752312856489,0.46258169939074945,0.5033916431803556,0.3434843847426433,0.5189620360478131,0.5277906607472127,0.518355344247963,0.515197874234965,0.5276756155539417,0.486519149041477
FUE_12,0.5911376848349348,0.4097342019459951,0.5122587630402274,0.583581619586481,0.49023276552581274,0.5140098436760018,0.6306788522613299,0.5789001891740323,0.36493363668248696,0.5088232397539011,0.2845205405618776,0.32667296663158824,0.47992759509976474,0.5142195120612607,0.5405232160647725,0.5258656934798763,0.27586007987374667,0.15163011762833525,0.4589593117065386,0.45351380045649303,0.5014219097410261,0.5082478873407072,0.47531824159551267,0.49607690182369346,0.5151903322293195,0.38691699539927354,0.5419337046142421,0.4415865735608822,0.4821008442102818,0.3227026146676819,0.497478402171355,0.5061682651856668,0.4968803876446574,0.4937664365971276,0.5060551878103722,0.46537997016764643
FUE_13,0.6066368330313392,0.41949719170307714,0.5230312931163587,0.598211427802204,0.5005896985168375,0.5248241529155698,0.654353963216274,0.5930601378227214,0.3746095924231457,0.5195180323491904,0.29414863165440824,0.3363168995608536,0.49014553030652847,0.525038925140004,0.5521946247200277,0.5370061156318999,0.2854862692245811,0.16124710240116613,0.46897004214514615,0.4634836109240258,0.5119666880117614,0.5189301874131524,0.48548281043692504,0.5065266034518118,0.5260336658062136,0.3966260678416455,0.5536652736597032,0.45148101668809454,0.4923457237854485,0.3323444231906073,0.5079520404600332,0.5168066175631018,0.5073437286045452,0.5041781385950969,0.5166912037326918,0.4754450992064301
FUE_14,0.6272226377948446,0.4432179344281121,0.5462121550902508,0.6192828327550545,0.5239934280252024,0.5479825628638132,0.6701916167657377,0.6143924442973432,0.39837664122444305,0.5427406471313891,0.31794113053597,0.36010097645501266,0.5136236065498981,0.5481945917011342,0.5748905140689129,0.559988974594799,0.3092797790439387,0.18504550498329023,0.4925587687187318,0.4870941640455147,0.5352697904192455,0.542159509123709,0.5089894055482096,0.5298806595706131,0.549176473026309,0.42037550149580005,0.5763285611104949,0.47513174859842183,0.5158093956254833,0.35612962955447386,0.5312932726257218,0.5400595275336573,0.5306904778654764,0.5275525469737993,0.5399453674908533,0.49900479686112775
FUE_15,0.9562324154307624,0.771664964508373,0.8747581739038083,0.9482073299604837,0.8524986893477676,0.8765326794124778,1.0,0.943270839320722,0.7268151401880805,0.8712790416036407,0.6463749380004921,0.6885363366550216,0.8421152384196019,0.8767452088440442,0.9035247110695694,0.8885710791784424,0.6377134001106577,0.5134782238736174,0.8210300851454462,0.8155614687675105,0.8637934725998577,0.870696678380182,0.8374758048587136,0.8583950179249225,0.8777294363527977,0.7488172465151133,0.9049686607085281,0.8035916647423492,0.8443036694457725,0.6845647815300888,0.8598099783187384,0.8685923866388021,0.8592061737515438,0.856063178971919,0.8684779974517873,0.8274814465657848
FUE_16,0.6030294648353985,0.4160687551171877,0.5195727925111165,0.5946324738686224,0.4971436458236298,0.5213643953768204,0.6504546409013451,0.5894963430614948,0.3711837201874766,0.5160618677762203,0.2907241678435626,0.33289196974655805,0.4867036184745731,0.5215790139814108,0.5487088547935901,0.5335365117900297,0.28206186134571865,0.15782296520823594,0.4655342823886029,0.46004906318728367,0.5085150214478427,0.5154743979149199,0.4820424854646155,0.5030777808723883,0.5225730344643895,0.3931992203744432,0.5501776615921102,0.44804869875583664,0.48890301013178095,0.32891955587617916,0.5045025023689497,0.513352146824525,0.5038944983607149,0.5007304512125375,0.5132368030737294,0.47200772670957963
FUE_17,0.5517972237809727,0.3638644357171798,0.467530726132487,0.5432448315446884,0.4450343469712263,0.46932912193047194,0.600842507117934,0.5380259546492207,0.31896558106416484,0.46400717861807705,0.23849843980254912,0.28066875253558476,0.43457197074029263,0.4695445708050188,0.49681433128156016,0.4815544774777855,0.22983583194967772,0.10559547740877288,0.4133694459749092,0.40787769039366645,0.45643603456447207,0.46341768227805813,0.4299022753581345,0.45098343608435154,0.4705424838160428,0.34098633657405186,0.498293117963838,0.39586530252613383,0.43677568931955696,0.2766960019094858,0.45241202107918194,0.46128830663748277,0.4518023547798045,0.44862997728120246,0.4611725843073506,0.419851588828406
FUE_18,0.6811945554701844,0.4962853484294066,0.5994382260222556,0.6731172800447588,0.577154150793531,0.6012152056446761,0.7254579334390758,0.6681526355366496,0.4514303906103973,0.5959544911950817,0.370987365967335,0.41314969871692026,0.5667624838332765,0.6014280373453144,0.6282580750464544,0.6132729302157974,0.3623257159473854,0.23808999700343092,0.5456650907855912,0.54019405835451,0.5884600441215636,0.5953713884602299,0.5621198969646194,0.5830559651945927,0.6024136815926114,0.4734344500475123,0.6297055987502266,0.5282198053648117,0.5689525071847377,0.4091780183255957,0.5844723413747228,0.5932644954442569,0.5838679277341307,0.5807218789265199,0.593149967973568,0.5521196646595761
FUE_19,0.6448637227162156,0.46189307880709035,0.5647029948631378,0.6370785087860534,0.5425600265127976,0.566465795672737,0.6864201742501912,0.632272001678666,0.41706771851303137,0.561245645346196,0.33664097310453756,0.37879791773591676,0.5322155785182807,0.5666768953378702,0.593218054064359,0.578412886609556,0.32797996991437195,0.20374738170807954,0.5111885980705472,0.505731474339187,0.5538021269088909,0.5606667831468861,0.5275911240590639,0.5484303334544797,0.5676544221762715,0.43906051545592656,0.5946451992407629,0.4937828414637727,0.5343964476168296,0.3748269598878188,0.5498385808267834,0.5585748088260634,0.5492376640775525,0.5461091525031022,0.5584610745357786,0.5176246834953363
FUE_20,0.6328739832962939,0.4470995300165004,0.5504019729312257,0.6246632152864612,0.5280561823522479,0.5521851677616175,0.6784308147944221,0.6196267639175433,0.40223173372556675,0.5469066789977975,0.3217816523145511,0.36394632035543406,0.5176439193285786,0.5523987588649394,0.5793559863773817,0.5642914753270011,0.3131197219731527,0.18888264631163826,0.4965158654759543,0.4910387839104026,0.5393899454888677,0.5463217193515102,0.5129934308597238,0.533971755313354,0.5533879626564141,0.42424067719094766,0.5808125226016551,0.4790533946164013,0.5198379334146942,0.35997432678205504,0.535391683176048,0.5442082953081449,0.5347857415529716,0.5316320320911955,0.5440934206816898,0.502978484041717
FUE_21,0.6988065600753921,0.5689216702670247,0.5530777248242601,0.6398543563757699,0.5936813544368347,0.5599598899237219,0.7215363353960215,0.6488314445461295,0.32589130936166955,0.5386492254456687,0.5371684646922175,0.5519483382946083,0.5889316485858821,0.6347522655492528,0.6079562732993251,0.5868360096366405,0.49563820351333193,0.5027547040976682,0.6022567010635331,0.38428125759728915,0.5794324680078192,0.5413094635698396,0.5881383152887832,0.5835083681659046,0.6413527725933108,0.2704988609815225,0.6231950570221327,0.5875007845449662,0.5961338603923949,0.5406976749946092,0.5166007009288412,0.5743392119883931,0.5885739393004358,0.583878278515196,0.5779837027341541,0.5527001813912306
FUE_22,0.6579539695181923,0.5271189171025112,0.5112544782484546,0.5982888903396227,0.5519270213505896,0.5181447523028379,0.6812847892162635,0.607327792849173,0.2840138144962938,0.4968122118525348,0.4953302506457191,0.5101238646743392,0.5471660729225349,0.5931563439903995,0.5662429666747384,0.5450658044073066,0.45377747421049863,0.46089663260145697,0.5605255915590073,0.34240504776359043,0.5376473819544489,0.49947469821840995,0.5463709640910496,0.5417312003691985,0.5997968622276196,0.2286209782440344,0.5815406963720051,0.5457320268612329,0.5543857659729544,0.4988623819365179,0.4747490241600562,0.5325450995566896,0.5468075595575929,0.5421018619227547,0.5361959545911718,0.5108765215299552
FUE_23,0.6871415681270088,0.5574182484644304,0.5415778276320838,0.6283102473644185,0.5821696117190259,0.5484585978899857,0.7097709790941563,0.6372767734731491,0.31440075038677956,0.5271516969606586,0.5256711427895082,0.5404486521925416,0.5774218370445792,0.6232133660306637,0.5964374876448018,0.5753269934801044,0.48414475727022516,0.4912608002468391,0.5907409707635978,0.3727904772814533,0.5679260090437575,0.5298115482075408,0.5766288087837852,0.5720005483792896,0.6298070298276656,0.25900836881717715,0.6116661640839913,0.5759915196828885,0.584621046256954,0.5291998504382049,0.5051056961831374,0.5628343045959463,0.5770642658981876,0.572370329640609,0.5664777013305891,0.5412003552964304
FUE_24,0.6218285777772417,0.48599096421446497,0.47002495640637737,0.5583553914469687,0.5110400376550225,0.47695539018284,0.648659827441252,0.5677111545896572,0.24251662172248678,0.45551459745290035,0.45402670401536893,0.46888826925696026,0.5062230143650462,0.5530676096539506,0.5255612552228506,0.5040996768187099,0.41236282162707716,0.4194950800163663,0.5197546805806231,0.3009141756487668,0.4966071901087308,0.4581881961422831,0.5054190565694832,0.5007304025349301,0.5599121889540402,0.18712187784079026,0.5411556990778954,0.5047731109870457,0.5135299316691073,0.4575732713118315,0.43337900734317275,0.49146004619115424,0.5058604933701336,0.5011048033342275,0.49514252700097244,0.4696449539248957
FUE_25,0.6348597687699644,0.5046997528121788,0.48884983232048357,0.5757014957895051,0.5294735474145766,0.49573436187060826,0.6577616655860724,0.5846965353905035,0.2616475918640201,0.47441731806129306,0.472936207181986,0.48772008797921435,0.5247205661502182,0.5705905546091965,0.5437604144964573,0.522623578270867,0.4313993780680114,0.43851665407147344,0.5380556583466588,0.3200379151024151,0.5152157001726511,0.47707821189464444,0.5239267155209789,0.5192939079297137,0.5772026880889214,0.20625503029223174,0.5590163529946699,0.5232887749642905,0.531927870718372,0.4764662694134178,0.45236451645430575,0.5101198133006173,0.524362622584151,0.5196640371872345,0.5137661590341991,0.4884721683722706
FUE_26,0.6112188037065875,0.48341557645742417,0.46761794683074775,0.5538164583304158,0.5080660752738769,0.47448177800150765,0.6326946313388223,0.5626563454255163,0.2405544342779197,0.4532205962211523,0.45174255290000476,0.46649133543138477,0.5033416902772545,0.5487821671501373,0.5222487502079094,0.5012564835617791,0.4102632984124006,0.4173737740158389,0.5165891757411989,0.29894146614572126,0.49388649561536174,0.4558757456378446,0.502552357585686,0.49794453742303274,0.555293629328686,0.18516286621826047,0.5373554295661056,0.5019179962420903,0.5105045383223664,0.45526515141543944,0.4312052789340519,0.48881360838786736,0.5029857926734549,0.49831275403109226,0.4924437363268995,0.4672413380749621
