"","MUE 1","MUE 2","MUE 3","MUE 4","MUE 5","MUE 6","MUE 7","MUE 8","MUE 9","MUE 10","MUE 11","MUE 12","MUE 13","MUE 14","MUE 15","MUE 16","MUE 17","MUE 18","MUE 19","MUE 20","MUE 21","MUE 22","MUE 23","MUE 24","MUE 25","MUE 26","MUE 27","MUE 28","MUE 29","MUE 30","MUE 31","MUE 32","MUE 33","MUE 34","MUE 35","MUE 36","MUE 37","MUE 38","MUE 39","MUE 40","MUE 41","MUE 42","MUE 43","MUE 44","MUE 45","MUE 46","MUE 47","MUE 48","MUE 49","MUE 50"
"FUE 18","55.056728366213","55.027462787014","55.009185528638","54.913329323443","54.956079705889","54.688908246535","54.864266053201","54.874734275774","54.776072154546","54.458782876926","54.148067109165","54.274561709831","54.080727369165","53.656345174779","53.028431100423","54.048312615898","52.543903816113","53.542063710559","45.231861560056","52.778227076387","52.742497956281","52.953412481433","49.195212075107","45.993548283743","49.45502970426","43.79790345587","45.350658017039","49.557548988772","46.613674022833","46.124505229166","50.825168879642","52.028402694364","28.422271273737","50.53168636961","51.847051968265","33.844712283856","36.79004554381","51.591750979006","51.721923665345","51.042840173135","46.220564736462","37.479069139702","51.347412795908","35.605368287309","50.993088115957","50.554358978989","28.594890478469","45.915242828358","49.050035544913","50.18868686768"
"FUE 19","63.482367861746","63.464545976366","63.453391849004","63.394594307544","63.420879077712","63.25498315024","63.364305441722","63.370778910912","63.309531006471","63.109011039539","62.907472324135","62.990131180077","62.863129419891","62.578334932194","62.140550903472","62.841700875331","61.789964994101","62.500092337664","55.535295593063","61.960862112833","61.934965800899","62.086981596449","59.109607685863","56.244958086111","59.331262691911","54.178795971953","55.646527713266","59.418181052405","56.816020387544","56.366084890153","60.465245902841","61.405412111129","39.001603649614","60.227632081756","61.267417789677","44.408998031758","47.333940462351","61.070850567274","61.171408307649","60.639471835499","56.454757637266","48.015867585245","60.8802730629","46.159136502456","60.599803940621","60.246096929299","39.173976953826","56.172400786543","58.98491942637","59.946143785274"
"FUE 20","64.599741178711","64.582207170855","64.571232626028","64.513374265394","64.539240731591","64.375943633276","64.483564346301","64.489935728942","64.429647734235","64.232178779237","64.033569886059","64.115043292679","63.989853817331","63.708938200919","63.276648055715","63.968725934736","62.930083806235","63.631718047533","56.712089643183","63.099060592754","63.07346009636","63.223714216106","60.271822560585","57.419723136689","60.492119008751","55.358658177938","56.823025174948","60.578485539138","57.988894907962","57.540469383174","61.617964548231","62.549588230696","40.189590865267","61.382234776252","62.412965307363","45.596355536693","48.520448217374","62.218278556436","62.317884838496","61.790742597234","57.628856752344","49.202080581419","62.029445464074","47.346055189798","61.751409440076","61.400556852129","40.361953860109","57.347388782332","60.147868783562","61.102850001409"
"FUE 21","62.913706051391","62.894847120184","62.883046227501","62.820868235893","62.848658217488","62.673421526607","62.788856761998","62.79569732847","62.730999210384","62.519536173035","62.307522154353","62.394415578714","62.260942252213","61.962337895601","61.505089909713","62.238441253763","61.140326510651","61.880464474021","54.759044006063","61.317985933198","61.291047048083","61.44927644467","58.383118721989","55.475587994426","58.609448596167","53.392165269411","54.871281146215","58.698267688827","56.053074891017","55.598007060027","59.771570647084","60.741530448627","38.18764159767","59.527421131355","60.598735377141","43.597146274499","46.524938509949","60.395596404373","60.499477641346","59.95082785596","55.687649193397","47.207854732435","60.198934057969","45.348756103894","59.909996107895","59.546380804873","38.360049440059","55.402273869642","58.255905772629","59.238650741519"
"FUE 22","56.725947506285","56.697560311059","56.679828724961","56.58679812476","56.62829580593","56.368760283983","56.539157863584","56.549323779157","56.453482970376","56.144855727237","55.842045871949","55.965388299169","55.776348031355","55.361760428494","54.746724507109","55.744714812198","54.270958725666","55.249960528019","47.019850867191","54.501164564758","54.466077447143","54.673125985265","50.962390402484","47.778855834904","51.220070032805","45.589829555477","47.138259286758","51.321710181999","48.396424379775","47.909302623173","52.576577585836","53.763782380677","30.223983833605","52.286383319225","53.585136533674","35.645697597061","38.590041475785","53.333459608684","53.461810704726","52.791664181583","48.004978056999","39.27871970645","53.092398547375","37.405843832392","52.742514231029","52.308809657921","30.396591172523","47.700848186017","50.818354397631","51.946958392987"
"FUE 23","59.829656239927","59.813184953044","59.802873517727","59.748485184947","59.772805692095","59.619124631978","59.720446206141","59.72644003942","59.669703752313","59.483548230497","59.295838709163","59.372897887829","59.254459074443","58.988036911809","58.576380164667","59.234452429514","58.244999119289","58.914647353811","52.168646072426","58.406717588889","58.382234193145","58.525840979425","55.671375546387","52.86828985382","55.886407715621","50.827331372805","52.278412559516","55.970638249076","53.430033726897","52.987539606928","56.980887645216","57.879889638935","35.690557367933","56.752394355451","57.748482934229","41.094808449512","44.015512100708","57.560961586602","57.656940538865","57.148114799378","53.074805188479","44.695969660085","57.378788820356","42.8427575679","57.110064164563","56.770167524296","35.862879196643","52.796832503208","55.550271163556","56.481107031601"
"FUE 24","56.822710690683","56.804222315699","56.792652495789","56.731681893027","56.758934335778","56.587031470108","56.70028544738","56.70699496109","56.643528279065","56.435966836394","56.227681712752","56.313068454748","56.181897364585","55.888198431287","55.437847198046","56.159777674269","55.078094817614","55.807613051595","48.741096009721","55.253365430335","55.226794995065","55.382827632922","52.347866048735","49.45525469861","52.572563613257","47.377810266107","48.852984938647","52.660718705948","50.030512439332","49.577225558388","53.72483633558","54.684322347008","32.182721194538","53.482978182441","54.543218105126","37.591498796342","40.518308800452","54.342391747535","54.445103721312","53.902328093248","49.666531414279","41.200884015019","54.14786865034","39.342601550904","53.861904853839","53.501764452254","32.355117139104","49.382203029362","52.221534162246","53.196758199742"
"FUE 25","67.753559290883","67.73065856466","67.716339352213","67.64102864248","67.674660056968","67.463332370225","67.602344166798","67.61060570551","67.532575426725","67.279164639353","67.027469503683","67.130348596666","66.9724748017","66.622375141324","66.093841146527","66.945946917245","65.678076794697","66.527090494078","58.872657176506","65.87996692724","65.849280999041","66.029903583798","62.6570687091","59.610916150367","62.898866561443","57.473294880396","58.98805681537","62.993995270317","60.20880603342","59.737429016424","64.155636125926","65.228804025114","42.184738597515","63.88926356572","65.069163725935","47.600655279004","50.537126488133","64.843100692558","64.958555734186","64.352101717507","59.830145438123","51.223060369225","64.625350779974","49.356743199149","64.307281422536","63.90990063444","42.357251280871","59.535206808154","62.521531937382","63.575904424898"
"FUE 26","55.82838372165","55.809471842984","55.797637935747","55.735287470947","55.763154232173","55.58744152784","55.703188162505","55.710047443933","55.645173496387","55.433153749499","55.220608197205","55.307716328128","55.173914960667","54.874612302551","54.416384066049","55.151359649573","54.050909554161","54.792555673701","47.663383296727","54.228907855453","54.201916687823","54.360457876328","51.289889232268","48.380261751513","51.516449008511","46.296001146193","47.775669249961","51.605361650218","48.958061409492","48.502743687864","52.679960378766","53.651401534881","31.090157851528","52.435487328704","53.508367045757","36.499764108592","39.427693603154","53.304900784171","53.408947474208","52.859466997583","48.592432996424","40.110657487093","53.107935861343","38.251444793292","52.818577528135","52.454471479554","31.262567356015","48.306910814986","51.162552230884","52.146357057128"
"FUE 27","60.278990226741","60.258481691498","60.245652521147","60.178106473747","60.208285351575","60.018258591981","60.143363703307","60.150786089317","60.08062467344","59.851907532897","59.623481360016","59.716997052109","59.573409782191","59.253351439174","58.766159044991","59.549236448721","58.379797077996","59.165866259701","51.813203259203","58.567736279915","58.539209885347","58.706914867185","55.50852982108","52.539482747304","55.741656252611","50.431710989058","51.926859916148","55.83324386485","53.126092470552","52.663734182097","56.945070700282","57.959480357239","35.189103977615","56.691271374397","57.809471404009","40.601528759752","43.53326976646","57.596489612229","57.705343956393","57.13178103908","52.754751727713","44.217557959739","57.390746786735","42.355176574033","57.089223300175","56.710960390357","35.361559584742","52.465096090043","55.377653805953","56.391791356553"
"FUE 28","74.576907910284","74.557812934486","74.545864864961","74.482918061381","74.511050280803","74.333692142782","74.450515099079","74.457439077912","74.391957338805","74.178013931182","73.963632736091","74.051482232228","73.916548230409","73.614835798958","73.153227716352","73.893805429589","72.785303451613","73.532147224408","66.376343986409","72.964468953112","72.937297682383","73.09691307607","70.011179446128","67.094367122283","70.238527951541","65.007239682085","66.488796973711","70.327761586614","67.67323753067","67.217064271627","71.406809625231","72.383344555452","49.79688620807","71.161225097996","72.239486284095","55.206839428907","58.135237811163","72.034894221512","72.13950998634","71.587173323354","67.306915074728","58.8183645256","71.836888837833","56.958762152614","71.546085479106","71.180293325985","49.969301389435","67.020890181803","69.883416934053","70.87085891187"
"FUE 29","63.91415392045","63.896245725286","63.885037760287","63.825958705861","63.852368849982","63.685694256209","63.795526309526","63.802030370235","63.74049485367","63.5390612783","63.336646028595","63.419659450723","63.292115689562","63.006162132632","62.566738741731","63.270597254282","62.214954483884","62.92761424005","55.949422977136","62.386423631241","62.360439180372","62.512979986365","59.528038753483","56.659683298297","59.750095751615","54.592020035471","56.060742462132","59.837177443075","57.231302954511","56.780922270787","60.886490283611","61.829194088887","39.412439548966","60.648317667721","61.69079195085","44.820018813859","47.745210785576","61.49366579879","61.594506300426","61.061145861329","56.86967914073","48.427224483346","61.302570086109","46.570286141684","61.021378619856","60.666824849261","39.584815879724","56.587060292062","59.403133231289","60.366205853762"
"FUE 30","56.307626206021","56.290868641875","56.280378551257","56.225054996757","56.249792229217","56.093517331378","56.196538514027","56.202634158997","56.144939846492","55.955728862446","55.765070208003","55.843324431305","55.723057682147","55.452703996344","55.035433681229","55.702747229209","54.699909449398","55.378273745309","48.584395385162","54.863609879521","54.838821604346","54.984241743131","52.102996368287","49.286272812005","52.319486701185","47.239687607288","48.694488881369","52.404308524515","49.850090612439","49.405940603464","53.422628197504","54.330590664884","32.093837121111","53.192140581065","54.197754455211","37.498796424106","40.420454491926","54.008267395696","54.10524174105","53.591383510637","49.493519483014","41.10124277428","53.824265366027","39.247238593927","53.552979923705","53.210065109443","32.266170551035","49.214570426296","51.981102192634","52.918618798184"
"FUE 31","73.483904125751","73.465960656682","73.443152942245","73.349566793951","73.409462944125","73.316202391494","73.359803014869","73.303006272147","73.12059946079","72.83643704711","73.127329155168","72.227777642171","73.009746159169","71.054693865294","69.878291734311","72.437970027914","67.884455301493","72.321811865407","67.735664424594","68.607586307499","69.270227656079","70.68413941492","71.413007166767","57.500590600402","58.220349146051","70.198658719107","54.524239369123","71.203159321768","70.576956248059","70.477339956055","71.303762319326","69.093306082931","66.332438237488","71.087993908026","68.789067804981","60.301876931019","68.218354982617","68.426492876341","69.317662285201","70.706155077502","70.043227998621","68.135075706234","70.379914730024","67.659506071857","70.389681829517","70.31806034778","66.07139245552","69.590487747163","70.11719628976","70.089771424356"
"FUE 32","73.383809410193","73.367870774181","73.347600777551","73.264304327051","73.317637711498","73.23456081311","73.273424677743","73.222789977827","73.059693255076","72.804200696617","73.065723343165","72.251530035947","72.960225233357","71.168025226182","70.061436471133","72.44318785569","68.151687996076","72.337373445926","68.007808004694","68.848497258816","69.483028484755","70.821406263317","71.501309744358","57.902270307021","58.61954936354","70.364519973839","54.932750145581","71.306352669486","70.720797180125","70.627155710414","71.399900281988","69.314018261453","66.643681719747","71.199079378457","69.022684005597","60.691108151924","68.473957332427","68.674396872451","69.528289156447","70.842052644656","70.217625259509","68.393660085638","70.535450514273","67.934101006008","70.544649600866","70.477165509048","66.388647480979","69.788161743146","70.287567326602","70.261642813403"
